Price,Ratings,Reviews,Title,edition_type,edition_month,edition_year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,BookCategory1,BookCategory2,Genre1,Genre2
352.0,5,4.3,2600,13,9,2016,1054,369,2891,2947,2947,2947,2947,4,9,22,262
339.0,10,4.9,6093,8,10,2018,1674,2947,2947,2947,2947,2947,2947,0,12,0,262
309.0,2,5.0,3255,13,11,2018,2507,2947,2947,2947,2947,2947,2947,15,12,38,262
262.0,2,3.1,5128,13,5,2012,2644,2947,2947,2947,2947,2947,2947,0,12,0,262
607.0,10,3.1,4285,13,10,2014,2930,2947,2947,2947,2947,2947,2947,4,9,334,262
536.0,9,4.8,1987,13,1,2012,1935,2947,2947,2947,2947,2947,2947,10,11,165,262
621.0,1,4.0,4606,8,11,2011,3627,2947,2947,2947,2947,2947,2947,13,12,209,262
286.98,15,4.3,1822,13,7,2016,3959,2947,2947,2947,2947,2947,2947,15,12,101,262
3779.0,34,4.3,4998,13,6,2014,3109,2947,2947,2947,2947,2947,2947,3,12,88,262
802.0,17,5.0,52,8,12,2014,616,2947,2947,2947,2947,2947,2947,15,12,277,262
588.26,9,5.0,3240,13,0,1989,652,271,842,3565,2947,2947,2947,2,6,38,262
340.0,32,4.0,5395,13,10,2013,980,2947,2947,2947,2947,2947,2947,5,16,98,262
799.0,2,3.9,4832,13,5,2015,3698,4415,2947,2947,2947,2947,2947,8,12,324,262
395.1,49,4.4,2999,13,11,2000,1619,2947,2947,2947,2947,2947,2947,2,6,28,262
225.0,49,4.2,5180,13,12,2005,4032,2947,2947,2947,2947,2947,2947,14,12,314,262
1780.0,10,4.3,4863,8,8,2016,2992,2947,2947,2947,2947,2947,2947,3,12,107,262
309.0,8,4.3,2154,13,9,2019,4353,2947,2947,2947,2947,2947,2947,5,16,98,262
559.0,62,4.4,1289,13,6,2014,3511,2947,2947,2947,2947,2947,2947,10,11,217,262
224.0,61,3.9,1469,13,0,2009,3135,2947,2947,2947,2947,2947,2947,2,6,369,262
565.0,1,5.0,3992,13,10,2006,946,2947,2947,2947,2947,2947,2947,5,16,0,262
511.0,8,4.6,2197,13,2,2013,1626,2947,2947,2947,2947,2947,2947,15,12,344,262
144.0,7,5.0,3943,13,4,2013,1467,2947,2947,2947,2947,2947,2947,10,11,91,262
1455.9,5,4.7,4251,8,12,2013,1150,2947,2947,2947,2947,2947,2947,5,16,98,262
645.0,18,3.8,3775,13,1,2008,1111,2947,2947,2947,2947,2947,2947,10,11,152,262
427.0,16,4.5,3063,8,5,2015,1267,2947,2947,2947,2947,2947,2947,10,11,235,262
560.0,6,4.6,1243,8,9,2019,4302,2947,2947,2947,2947,2947,2947,14,12,258,262
395.1,3,5.0,679,13,5,2014,492,2947,2947,2947,2947,2947,2947,15,12,274,262
386.0,2,5.0,3419,13,2,2006,987,2947,2947,2947,2947,2947,2947,1,7,258,262
226.0,98,4.1,918,13,3,2014,3758,2947,2947,2947,2947,2947,2947,2,6,373,262
303.0,12,4.8,535,13,10,2012,3096,2947,2947,2947,2947,2947,2947,0,12,0,262
1383.0,14,4.8,3196,13,7,2012,2651,2947,2947,2947,2947,2947,2947,1,7,243,262
235.0,3,3.8,6361,13,4,2017,850,2947,2947,2947,2947,2947,2947,0,12,0,262
427.0,97,4.4,5209,13,6,2016,869,2947,2947,2947,2947,2947,2947,2,6,238,262
587.0,1,2.0,3887,17,6,2018,42,2947,2947,2947,2947,2947,2947,1,7,258,262
262.0,7,4.6,6279,12,11,2000,2788,2947,2947,2947,2947,2947,2947,5,16,0,262
769.0,2,5.0,5544,13,1,2018,3465,2947,2947,2947,2947,2947,2947,2,6,38,262
180.0,2,5.0,718,13,7,2019,3340,2947,2947,2947,2947,2947,2947,8,12,331,262
199.0,7,4.2,154,13,0,2017,4551,2947,2947,2947,2947,2947,2947,14,12,314,262
370.0,5,4.1,1847,8,11,2016,566,2947,2947,2947,2947,2947,2947,8,12,204,262
259.0,285,4.7,172,13,8,2015,1383,2947,2947,2947,2947,2947,2947,0,12,0,262
444.25,29,4.1,4944,13,4,2013,1655,2947,2947,2947,2947,2947,2947,1,7,89,262
743.0,1,5.0,3200,13,9,2016,3556,2947,2947,2947,2947,2947,2947,4,9,297,262
360.0,27,3.7,6127,8,2,2016,4469,2947,2947,2947,2947,2947,2947,2,6,38,262
247.0,4,4.0,858,13,12,2004,123,2947,2947,2947,2947,2947,2947,13,12,247,262
88.0,267,3.2,4343,13,5,2018,3583,2947,2947,2947,2947,2947,2947,14,12,202,262
191.0,24,4.0,6228,13,0,2014,557,2947,2947,2947,2947,2947,2947,4,9,265,262
138.0,7,4.0,5767,8,7,1999,748,2947,2947,2947,2947,2947,2947,8,12,82,262
503.0,6,4.7,6076,13,11,2010,1574,2947,2947,2947,2947,2947,2947,0,12,0,262
220.0,2,5.0,6780,13,7,2013,1446,2947,2947,2947,2947,2947,2947,8,12,80,262
325.0,146,4.3,3143,13,11,2014,2265,2947,2947,2947,2947,2947,2947,5,16,102,363
573.18,1,5.0,1334,13,5,2011,4457,2947,2947,2947,2947,2947,2947,13,12,243,262
1049.0,4,4.0,66,8,12,2016,1129,2947,2947,2947,2947,2947,2947,10,11,114,262
413.0,1,5.0,132,13,12,2016,1643,1066,1306,4440,2947,2947,2947,8,12,235,262
304.0,95,4.1,3243,13,12,2018,1620,2947,2947,2947,2947,2947,2947,0,12,0,262
661.0,1,5.0,3291,13,10,2016,4697,2947,2947,2947,2947,2947,2947,3,12,89,262
334.0,234,4.6,259,13,12,2016,4,2947,2947,2947,2947,2947,2947,15,12,38,262
543.0,35,3.7,5071,13,10,2015,52,2947,2947,2947,2947,2947,2947,1,7,93,262
721.0,3,5.0,3007,8,4,2019,1594,2947,2947,2947,2947,2947,2947,13,12,168,262
1643.0,5,4.1,512,13,10,2007,1266,4240,2226,1732,1478,2947,2947,1,7,25,362
309.0,7,4.4,4533,13,8,2008,163,2947,2947,2947,2947,2947,2947,5,16,0,262
854.0,2,4.0,937,8,1,2018,1041,2947,2947,2947,2947,2947,2947,8,12,38,262
1799.0,4,5.0,657,13,5,2015,3930,4384,1864,2947,2947,2947,2947,8,12,320,262
437.0,66,4.6,4083,13,6,2012,3405,2947,2947,2947,2947,2947,2947,2,6,38,262
409.0,1,5.0,72,13,2,2016,4007,2947,2947,2947,2947,2947,2947,15,12,197,262
239.0,15,4.5,5536,13,4,2016,1043,2947,2947,2947,2947,2947,2947,1,7,175,106
374.0,8,4.5,5362,13,4,2018,1037,2947,2947,2947,2947,2947,2947,13,12,205,262
199.0,20,3.2,5510,13,5,2015,2963,2947,2947,2947,2947,2947,2947,2,6,177,262
345.0,39,4.6,2480,13,7,2001,3538,2947,2947,2947,2947,2947,2947,2,6,311,262
373.0,9,4.2,4000,8,5,2018,3415,2947,2947,2947,2947,2947,2947,13,12,229,262
400.0,6,5.0,5540,13,8,2018,2486,2947,2947,2947,2947,2947,2947,10,11,379,262
433.0,3,3.7,6042,8,7,2019,1501,4555,2947,2947,2947,2947,2947,2,6,26,262
1477.0,7,4.8,379,8,10,2015,131,2947,2947,2947,2947,2947,2947,15,12,38,262
499.0,7,2.6,931,13,3,2017,669,670,2947,2947,2947,2947,2947,1,7,175,106
262.0,12,4.9,645,13,12,2017,3087,2947,2947,2947,2947,2947,2947,15,12,128,262
2846.0,171,4.1,623,13,10,2016,1988,2947,2947,2947,2947,2947,2947,4,9,220,262
150.0,13,5.0,1115,8,8,2019,3724,2947,2947,2947,2947,2947,2947,2,6,38,262
350.0,2,4.0,2548,13,6,1969,4646,2947,2947,2947,2947,2947,2947,8,12,325,262
434.0,2,3.5,6276,13,8,2019,2414,2947,2947,2947,2947,2947,2947,2,6,131,262
423.24,9,4.5,3656,13,12,2008,4235,2947,2947,2947,2947,2947,2947,1,7,25,362
449.0,2,5.0,4286,13,9,2011,81,2947,2947,2947,2947,2947,2947,4,9,50,262
510.0,7,3.2,1712,13,6,2016,2465,2947,2947,2947,2947,2947,2947,10,11,198,262
93.0,399,4.6,148,13,12,2018,89,2947,2947,2947,2947,2947,2947,14,12,202,262
479.0,1,5.0,3744,8,12,2014,3133,2947,2947,2947,2947,2947,2947,8,12,98,262
115.0,7,4.0,4172,13,4,2009,3566,2947,2947,2947,2947,2947,2947,14,12,314,262
319.0,42,4.5,1701,13,5,2019,78,2947,2947,2947,2947,2947,2947,5,16,102,363
74.0,2,4.0,2850,8,12,2016,2375,2947,2947,2947,2947,2947,2947,10,11,60,262
399.0,2,2.8,4855,13,0,2017,973,2947,2947,2947,2947,2947,2947,4,9,50,262
3242.0,2,5.0,1138,8,4,2016,2855,2947,2947,2947,2947,2947,2947,4,9,93,262
324.35,142,4.2,1775,13,3,2017,1205,2947,2947,2947,2947,2947,2947,14,12,314,262
555.0,4,3.4,2195,13,7,2013,1626,2947,2947,2947,2947,2947,2947,15,12,344,262
302.0,10,2.9,3847,13,11,2004,2587,2947,2947,2947,2947,2947,2947,2,6,179,262
200.0,62,3.9,2801,13,3,2014,3720,2947,2947,2947,2947,2947,2947,2,6,202,262
212.0,3,4.1,1300,13,12,2004,982,2947,2947,2947,2947,2947,2947,15,12,38,262
685.0,1,5.0,5822,13,9,2019,3004,2947,2947,2947,2947,2947,2947,3,12,243,262
427.0,1,5.0,6263,7,9,2018,807,2947,2947,2947,2947,2947,2947,15,12,65,365
1099.0,15,4.5,6458,13,4,2010,4635,2947,2947,2947,2947,2947,2947,1,7,107,262
1453.0,5,5.0,6724,13,9,2015,2448,2947,2947,2947,2947,2947,2947,15,12,177,262
190.0,6,4.8,4617,13,4,2016,3569,2947,2947,2947,2947,2947,2947,0,12,0,262
336.0,11,4.7,3352,13,10,2001,822,2947,2947,2947,2947,2947,2947,8,12,331,262
647.0,20,4.7,5141,13,11,1993,551,2947,2947,2947,2947,2947,2947,1,7,88,262
320.0,4,4.7,1099,13,11,2016,3976,2947,2947,2947,2947,2947,2947,8,12,107,262
899.0,1,5.0,5768,13,7,2009,1247,2947,2947,2947,2947,2947,2947,1,7,331,262
235.0,839,4.3,2563,13,8,2014,913,2947,2947,2947,2947,2947,2947,5,16,0,262
260.0,47,3.9,5883,13,6,2015,4567,2947,2947,2947,2947,2947,2947,2,6,38,262
620.0,5,3.5,2438,13,11,2018,1706,2947,2947,2947,2947,2947,2947,0,12,0,262
599.0,1,4.0,1664,13,0,2016,4390,2947,2947,2947,2947,2947,2947,10,11,114,262
449.0,3,4.3,1585,13,3,2015,3266,2947,2947,2947,2947,2947,2947,15,12,346,262
837.0,18,4.4,3942,13,3,2013,240,2947,2947,2947,2947,2947,2947,13,12,168,262
1879.0,1,5.0,4862,8,1,2002,1624,2947,2947,2947,2947,2947,2947,3,12,243,262
547.0,165,4.3,4767,13,10,2000,3611,2947,2947,2947,2947,2947,2947,13,12,292,262
199.0,30,3.7,333,13,11,2013,3585,2947,2947,2947,2947,2947,2947,8,12,204,262
549.0,7,3.3,2467,13,4,2011,3242,2947,2947,2947,2947,2947,2947,10,11,235,262
1059.0,5,4.2,6396,17,12,2017,4452,2947,2947,2947,2947,2947,2947,1,7,258,262
374.0,53,4.2,1823,13,8,2015,2804,2947,2947,2947,2947,2947,2947,13,12,218,262
624.0,3,3.7,4783,13,4,2008,1216,2947,2947,2947,2947,2947,2947,3,12,66,262
1045.0,2,4.0,1194,13,4,2009,2780,2947,2947,2947,2947,2947,2947,1,7,351,262
1625.0,1,5.0,3794,8,0,2009,453,2947,2947,2947,2947,2947,2947,1,7,276,262
815.0,6,4.5,6188,13,1,1999,3620,2947,2947,2947,2947,2947,2947,2,6,122,262
816.0,32,4.3,4823,13,11,2008,2066,2947,2947,2947,2947,2947,2947,8,12,386,262
614.0,10,4.5,2194,13,7,2013,1626,2947,2947,2947,2947,2947,2947,15,12,50,262
180.0,14,4.6,6092,13,0,2019,4191,2947,2947,2947,2947,2947,2947,8,12,47,262
397.0,77,4.8,630,13,1,2018,2020,2947,2947,2947,2947,2947,2947,2,6,43,262
155.0,16,4.3,4151,13,9,2017,1185,2947,2947,2947,2947,2947,2947,1,7,175,106
303.0,33,4.0,2479,13,1,2016,3894,2947,2947,2947,2947,2947,2947,2,6,318,262
459.0,35,4.5,2590,13,9,2015,378,4542,2947,2947,2947,2947,2947,4,9,96,213
309.0,37,4.2,236,13,2,1992,2034,2947,2947,2947,2947,2947,2947,0,12,0,262
1179.99,3,4.6,5345,8,2,2018,3855,2947,2947,2947,2947,2947,2947,0,12,200,262
774.0,4,3.7,3338,13,5,2016,2646,3831,2947,2947,2947,2947,2947,3,12,87,262
3859.0,6,5.0,1009,8,5,2016,4605,2947,2947,2947,2947,2947,2947,4,9,265,262
209.0,8,5.0,5145,13,6,2019,281,2947,2947,2947,2947,2947,2947,5,16,373,262
1600.0,10,4.8,2255,13,9,2012,3910,2947,2947,2947,2947,2947,2947,4,9,96,213
372.0,2,4.5,5263,13,2,2018,1831,2947,2947,2947,2947,2947,2947,5,16,102,363
2964.0,1,5.0,2080,13,0,2009,2169,2947,2947,2947,2947,2947,2947,4,9,297,262
325.0,9,3.9,3266,13,9,2016,1731,2947,2947,2947,2947,2947,2947,4,9,217,262
449.0,6,5.0,6436,8,12,2006,3133,2947,2947,2947,2947,2947,2947,8,12,98,262
330.0,54,4.6,3342,8,7,2018,4525,2947,2947,2947,2947,2947,2947,13,12,4,262
450.0,1,5.0,1391,13,8,2019,347,2947,2947,2947,2947,2947,2947,13,12,168,262
1029.0,2,5.0,1032,8,0,2011,1520,2947,2947,2947,2947,2947,2947,8,12,61,188
375.0,6,3.7,4833,13,7,2010,2823,2947,2947,2947,2947,2947,2947,8,12,89,262
720.0,1,4.0,5788,13,4,2003,2048,2947,2947,2947,2947,2947,2947,10,11,235,262
395.0,35,4.3,4996,13,3,2003,1392,2947,2947,2947,2947,2947,2947,14,12,180,262
184.0,13,4.9,3921,13,11,2017,78,2947,2947,2947,2947,2947,2947,5,16,324,262
283.0,13,3.8,934,13,0,1992,551,2947,2947,2947,2947,2947,2947,8,12,88,262
449.0,1,3.0,3410,8,5,2018,2879,2947,2947,2947,2947,2947,2947,8,12,38,262
299.0,28,4.3,5629,13,4,2017,1672,2947,2947,2947,2947,2947,2947,2,6,179,262
299.0,7,3.7,3598,13,6,2017,1715,2947,2947,2947,2947,2947,2947,5,16,98,262
270.0,2,4.5,1031,13,5,1996,1743,2185,2947,2947,2947,2947,2947,15,12,346,262
61.0,2,4.5,3735,8,1,2009,2375,2947,2947,2947,2947,2947,2947,10,11,225,234
184.0,23,3.7,1611,13,5,2018,980,2947,2947,2947,2947,2947,2947,5,16,102,363
70.0,50,4.2,3457,13,7,2018,2910,2947,2947,2947,2947,2947,2947,14,12,314,262
418.0,2,5.0,3042,13,9,0,3012,2947,2947,2947,2947,2947,2947,0,12,0,262
395.0,4,4.7,2363,13,4,2018,492,2947,2947,2947,2947,2947,2947,15,12,38,262
179.0,197,4.0,725,13,0,2011,3081,2947,2947,2947,2947,2947,2947,10,11,173,262
782.0,2,5.0,3914,13,3,2009,2974,2947,2947,2947,2947,2947,2947,3,12,243,262
475.44,4,3.5,6705,13,1,2000,2289,2947,2947,2947,2947,2947,2947,10,11,50,262
403.0,30,4.0,844,13,4,2012,4391,2947,2947,2947,2947,2947,2947,8,12,38,262
359.0,1,5.0,6005,13,2,2012,4262,2947,2947,2947,2947,2947,2947,14,12,314,262
114.0,26,3.9,2806,12,4,1982,3622,2947,2947,2947,2947,2947,2947,5,16,238,262
639.0,5,4.7,5302,13,11,2014,2572,2947,2947,2947,2947,2947,2947,3,12,243,262
247.0,3,4.4,5420,13,3,2019,2510,2947,2947,2947,2947,2947,2947,5,16,98,262
210.0,114,4.2,627,13,8,2017,344,2947,2947,2947,2947,2947,2947,14,12,0,262
117.0,32,3.7,5831,13,3,2019,3047,2947,2947,2947,2947,2947,2947,14,12,314,262
1679.0,12,3.8,2936,13,7,2018,173,2947,2947,2947,2947,2947,2947,4,9,334,262
73.0,1,5.0,2792,8,1,2009,2375,2947,2947,2947,2947,2947,2947,10,11,225,234
2905.0,46,4.2,1706,13,7,2013,2069,2947,2947,2947,2947,2947,2947,4,9,334,262
344.0,15,4.7,635,13,1,2014,1465,2947,2947,2947,2947,2947,2947,1,7,369,262
1499.0,1,5.0,4721,13,8,2015,643,2947,2947,2947,2947,2947,2947,4,9,217,262
309.0,1,3.0,2312,8,6,2018,1682,2947,2947,2947,2947,2947,2947,14,12,314,262
250.0,72,4.5,3706,13,3,1997,620,2947,2947,2947,2947,2947,2947,14,12,309,262
259.0,51,4.8,4714,13,2,2011,351,2947,2947,2947,2947,2947,2947,13,12,302,262
1074.0,1,5.0,6708,13,6,2015,1105,2947,2947,2947,2947,2947,2947,14,12,314,262
322.0,161,4.3,2977,8,9,2016,1876,2947,2947,2947,2947,2947,2947,2,6,74,262
768.0,3,5.0,4413,13,10,2015,823,2947,2947,2947,2947,2947,2947,1,7,147,262
120.0,135,4.6,503,13,0,2010,2149,2947,2947,2947,2947,2947,2947,0,12,0,262
205.0,26,4.3,831,13,3,2008,3724,2947,2947,2947,2947,2947,2947,8,12,202,262
338.0,41,4.6,2574,13,6,2016,3389,2947,2947,2947,2947,2947,2947,5,16,102,363
723.0,1,5.0,6574,13,6,1989,3498,2947,2947,2947,2947,2947,2947,8,12,15,262
1499.0,1,3.0,511,13,5,2014,1372,2947,2947,2947,2947,2947,2947,1,7,107,262
171.0,156,4.5,2353,13,7,2015,61,2947,2947,2947,2947,2947,2947,2,6,280,262
372.0,15,4.3,4980,8,3,2019,2923,2947,2947,2947,2947,2947,2947,2,6,38,262
369.0,77,4.7,251,13,0,2015,866,2947,2947,2947,2947,2947,2947,8,12,38,262
73.0,1416,4.6,602,13,2,2017,3150,2947,2947,2947,2947,2947,2947,2,6,38,262
783.0,4,4.5,2162,13,3,2015,755,2947,2947,2947,2947,2947,2947,0,12,302,262
259.0,1,5.0,4673,12,4,2018,2523,2947,2947,2947,2947,2947,2947,14,12,314,262
1268.0,3,4.2,874,13,10,2017,1453,2947,2947,2947,2947,2947,2947,1,7,25,362
187.0,49,4.7,1477,13,5,2015,3398,2947,2947,2947,2947,2947,2947,0,12,0,262
677.0,3,4.6,4687,13,7,2015,3519,2947,2947,2947,2947,2947,2947,3,12,243,262
266.0,4,4.5,6329,13,11,2017,2654,2947,2947,2947,2947,2947,2947,0,12,0,262
344.0,2,4.5,1754,13,12,2018,1124,2947,2947,2947,2947,2947,2947,5,16,373,262
304.0,93,4.1,3243,13,12,2018,1620,2947,2947,2947,2947,2947,2947,0,12,0,262
82.0,7,3.3,1836,13,9,2010,2514,2947,2947,2947,2947,2947,2947,3,12,88,262
434.0,3,5.0,6132,13,0,2018,2637,2947,2947,2947,2947,2947,2947,13,12,122,262
248.0,27,3.5,3876,13,12,2016,4610,2947,2947,2947,2947,2947,2947,5,16,0,262
153.0,1,3.0,92,13,7,2018,2582,2947,2947,2947,2947,2947,2947,1,7,25,362
203.0,23,3.8,5091,13,8,2011,2034,2947,2947,2947,2947,2947,2947,0,12,0,262
335.0,221,4.5,2277,8,12,2017,3897,2947,2947,2947,2947,2947,2947,4,9,204,262
455.0,5,4.8,6769,12,6,1982,1991,2947,2947,2947,2947,2947,2947,15,12,245,262
702.0,2,5.0,3685,13,7,2010,1244,2947,2947,2947,2947,2947,2947,3,12,243,262
69.0,36,3.3,3984,13,5,2011,4320,2947,2947,2947,2947,2947,2947,10,11,225,234
296.0,3,4.6,1160,13,5,1995,2788,2947,2947,2947,2947,2947,2947,5,16,0,262
334.0,6,4.8,223,13,5,2018,1600,1502,2947,2947,2947,2947,2947,2,6,373,262
399.0,154,3.9,586,13,3,2007,441,2947,2947,2947,2947,2947,2947,5,16,102,363
135.0,3,4.0,3304,13,1,2004,4124,2947,2947,2947,2947,2947,2947,8,12,204,262
428.0,8,3.4,4223,13,9,2013,4498,2947,2947,2947,2947,2947,2947,0,12,0,262
659.0,74,4.4,939,13,9,2014,886,2947,2947,2947,2947,2947,2947,10,11,114,262
678.0,20,4.6,3637,13,5,2011,122,2947,2947,2947,2947,2947,2947,3,12,243,262
320.0,10,3.3,2921,13,6,2011,2883,2947,2947,2947,2947,2947,2947,10,11,227,262
363.0,49,4.2,3778,13,1,2012,3117,2947,2947,2947,2947,2947,2947,10,11,225,234
319.0,14,4.2,5934,13,4,2017,1835,2947,2947,2947,2947,2947,2947,0,12,0,262
793.0,2,4.1,4329,13,0,2009,4301,2947,2947,2947,2947,2947,2947,8,12,385,262
228.0,24,4.4,4948,13,11,2017,78,2947,2947,2947,2947,2947,2947,5,16,102,363
1196.0,2,5.0,2537,8,12,2014,1126,2947,2947,2947,2947,2947,2947,1,7,107,262
258.0,7,5.0,583,13,7,2019,1177,2947,2947,2947,2947,2947,2947,0,12,0,262
319.0,35,4.1,5261,13,12,2016,2034,2947,2947,2947,2947,2947,2947,5,16,98,262
734.0,1,5.0,2716,13,1,2016,241,2947,2947,2947,2947,2947,2947,15,12,328,262
395.0,45,4.6,166,13,6,2017,1470,2947,2947,2947,2947,2947,2947,0,12,0,262
1453.0,6,3.9,343,15,9,0,4617,2947,2947,2947,2947,2947,2947,1,7,258,262
97.0,3,4.4,2690,13,10,2012,286,2947,2947,2947,2947,2947,2947,15,12,101,262
378.91,11,4.6,3845,13,8,2007,3211,2947,2947,2947,2947,2947,2947,15,12,38,262
259.0,7,4.4,5669,13,7,2015,2785,2947,2947,2947,2947,2947,2947,5,16,0,262
299.0,13,4.3,2304,13,10,2013,980,2947,2947,2947,2947,2947,2947,0,12,0,262
88.0,5,4.5,879,13,4,1987,660,2947,2947,2947,2947,2947,2947,10,11,171,262
375.0,1,5.0,6601,13,2,1999,1808,2947,2947,2947,2947,2947,2947,5,16,0,262
304.0,41,4.6,4139,13,4,2013,1655,2947,2947,2947,2947,2947,2947,1,7,89,262
541.0,2,5.0,1463,8,2,2018,967,2947,2947,2947,2947,2947,2947,3,12,89,262
380.0,20,3.9,2830,13,9,2011,4476,2947,2947,2947,2947,2947,2947,10,11,324,262
489.0,8,4.7,3475,13,10,2003,2708,2947,2947,2947,2947,2947,2947,3,12,243,262
354.0,2,4.5,3699,13,4,2017,3104,2947,2947,2947,2947,2947,2947,3,12,243,262
205.0,10,5.0,147,13,3,2017,1953,2947,2947,2947,2947,2947,2947,2,6,38,262
449.0,4,4.2,3901,8,10,2013,3196,2947,2947,2947,2947,2947,2947,3,12,89,262
415.0,39,4.4,5770,13,11,2017,2278,2947,2947,2947,2947,2947,2947,0,12,0,262
497.0,1,5.0,3696,13,8,2016,3104,2947,2947,2947,2947,2947,2947,3,12,243,262
2742.0,27,4.0,3013,13,10,2015,4512,2947,2947,2947,2947,2947,2947,2,6,27,262
467.0,1,3.0,59,13,12,2015,2015,2947,2947,2947,2947,2947,2947,3,12,0,262
373.0,11,2.9,6104,8,11,2018,23,2947,2947,2947,2947,2947,2947,2,6,139,262
706.0,3,3.0,1844,13,10,2003,4041,2947,2947,2947,2947,2947,2947,15,12,369,262
233.22,3,4.6,4698,13,11,2014,2598,2947,2947,2947,2947,2947,2947,5,16,324,262
1009.0,1,5.0,5845,13,2,2017,2150,2947,2947,2947,2947,2947,2947,10,11,386,262
159.0,240,4.1,1624,13,0,2001,1533,2947,2947,2947,2947,2947,2947,4,9,364,262
773.0,50,4.4,6265,13,8,2013,3875,2947,2947,2947,2947,2947,2947,14,12,60,262
139.0,62,3.7,2449,13,10,2011,1454,2947,2947,2947,2947,2947,2947,2,6,11,262
1203.0,1,5.0,4227,13,2,2016,641,2947,2947,2947,2947,2947,2947,15,12,346,262
259.0,55,4.1,1283,13,2,2011,2979,2947,2947,2947,2947,2947,2947,4,9,159,262
228.0,4,3.4,1088,13,3,2003,3969,2947,2947,2947,2947,2947,2947,2,6,202,262
375.0,9,3.5,3262,13,0,2012,2788,2947,2947,2947,2947,2947,2947,0,12,0,262
113.0,2,2.0,2863,13,1,2018,2375,2947,2947,2947,2947,2947,2947,10,11,228,262
480.0,55,4.5,4061,13,11,2017,910,2947,2947,2947,2947,2947,2947,4,9,297,262
1038.0,1,4.0,4236,13,11,2017,487,2947,2947,2947,2947,2947,2947,15,12,177,262
690.0,19,4.5,890,13,6,2002,632,2947,2947,2947,2947,2947,2947,15,12,245,262
299.0,3,3.3,3380,13,9,2002,4114,2947,2947,2947,2947,2947,2947,4,9,96,213
245.0,5,4.6,809,13,6,2016,3669,2947,2947,2947,2947,2947,2947,13,12,289,262
425.0,2,4.5,160,8,3,2012,364,2947,2947,2947,2947,2947,2947,1,7,358,262
324.0,2,5.0,4868,13,7,2002,2150,2947,2947,2947,2947,2947,2947,1,7,256,44
239.0,4,4.0,6030,13,0,2003,3297,2947,2947,2947,2947,2947,2947,8,12,139,262
242.0,17,4.7,1513,13,4,2019,3801,2947,2947,2947,2947,2947,2947,10,11,331,262
580.0,7,4.6,5851,13,8,2018,4141,2947,2947,2947,2947,2947,2947,2,6,117,262
420.44,26,4.3,3568,13,10,2007,1213,2947,2947,2947,2947,2947,2947,2,6,83,262
469.0,4,4.3,2880,13,8,2014,1525,2947,2947,2947,2947,2947,2947,15,12,38,262
359.0,7,4.7,829,13,5,2010,863,2947,2947,2947,2947,2947,2947,0,12,0,262
225.0,37,4.3,2308,13,1,2017,946,2947,2947,2947,2947,2947,2947,0,12,0,262
407.5,48,4.3,420,13,5,2018,3787,2947,2947,2947,2947,2947,2947,14,12,0,262
125.0,15,3.9,54,13,0,2019,3816,2947,2947,2947,2947,2947,2947,10,11,228,262
79.0,404,4.1,3608,13,11,2014,3372,2947,2947,2947,2947,2947,2947,4,9,96,213
319.0,2,5.0,5152,12,2,2010,1497,2947,2947,2947,2947,2947,2947,8,12,15,262
798.44,1,5.0,1113,13,11,2017,3529,2947,2947,2947,2947,2947,2947,3,12,88,262
